ciudad,provincia,latitud,longitud
"Anconcito","Guayas",-2.3333333333333335,-80.88333333333334
"Andarriales","Manabí",-1.0,-80.1
"Andignato","Tungurahua",-1.35,-78.61666666666666
"Andoas","Pastaza",-2.5666666666666664,-76.63333333333334
"Andrade Marin","Imbabura",0.3333333333333333,-78.21666666666667
"Angamarca","Cotopaxi",-1.1166666666666667,-78.93333333333334
"Angamarcalle","Cotopaxi",-1.0,-78.61666666666666
"Angapamba","Azuay",-2.8833333333333333,-78.86666666666666
"Angas","Cañar",-2.4,-78.98333333333333
"Angas","Azuay",-2.9333333333333336,-79.35
"Angashco","Loja",-4.466666666666667,-79.86666666666666
"Angasmayo","Carchi",0.8333333333333334,-77.7
"Angela Maria","Guayas",-1.3833333333333333,-79.93333333333334
"Angelica","Guayas",-2.1666666666666665,-79.65
"Angelica","Guayas",-1.8833333333333333,-79.78333333333333
"Angelina","Guayas",-1.9166666666666665,-79.61666666666666
"Angelita","Guayas",-2.183333333333333,-79.66666666666667
"Angelita","Guayas",-2.1333333333333333,-79.63333333333334
"Angochagua","Imbabura",0.25,-78.08333333333333
"Angostura","Sucumbios",0.4,-76.33333333333333
"Anguasha","Morona-Santiago",-2.0166666666666666,-77.95
"Animas","Los Ríos",-1.5333333333333332,-79.7
"Ankuash","Morona-Santiago",-2.711388888888889,-77.57166666666666
"Anona","Manabí",-1.2833333333333332,-80.46666666666667
"Antisana","Azuay",-2.95,-79.01666666666667
"Antonio Jose Holguin","Cotopaxi",-1.1166666666666667,-78.58333333333333
"Antonio Sotomayor","Los Ríos",-1.65,-79.8
"Apagua","Cotopaxi",-0.9666666666666667,-78.93333333333334
"Apatug","Tungurahua",-1.3166666666666667,-78.7
"Apuela","Imbabura",0.35,-78.5
"Arajuno","Pastaza",-1.2333333333333334,-77.66666666666667
"Arapicos","Morona-Santiago",-1.85,-77.95
"Arcadia","Guayas",-1.5333333333333332,-80.01666666666667
"Archidona","Napo",-0.9166666666666666,-77.8
"Archiras","Loja",-4.1,-79.26666666666667
"Arcos","Loja",-3.55,-79.48333333333333
"Arenal","Cañar",-2.3666666666666667,-79.03333333333333
"Arenillas","El Oro",-3.55,-80.06666666666666
"Arias","Los Ríos",-1.3333333333333333,-79.8
"Ario","Guayas",-2.2666666666666666,-79.86666666666666
"Arizaga","Azuay",-2.9166666666666665,-78.78333333333333
"Armenia","Orellana",-0.5333333333333333,-77.08333333333333
"Aromo","Manabí",-1.05,-80.9
"Arquillo","Azuay",-2.7666666666666666,-79.45
"Arrastradero","Manabí",0.16666666666666666,-80.06666666666666
"Arrayan","Cañar",-2.4833333333333334,-79.11666666666666
"Arrayan","Azuay",-3.0833333333333335,-79.05
"Arrayan","Carchi",0.7666666666666667,-77.78333333333333
"Arrayan Dormido","Cañar",-2.4333333333333336,-79.01666666666667
"Arrayancucho","Pichincha",0.16666666666666666,-78.03333333333333
"Arres","Cañar",-2.4833333333333334,-78.95
"Arrozal","Cañar",-2.55,-79.33333333333333
"Arrozal","Orellana",-0.7833333333333333,-75.28333333333333
"Artilleria","Guayas",-1.9333333333333333,-79.71666666666667
"Arvida","Guayas",-1.7833333333333332,-79.78333333333333
"Asavo","Morona-Santiago",-3.321944444444444,-78.47888888888889
"Ascazubi","Pichincha",-0.08333333333333333,-78.28333333333333
"Ascazubi Alto","Pichincha",-0.08333333333333333,-78.28333333333333
"Ascension","Guayas",-1.9166666666666665,-79.75
"Asuncion","Azuay",-3.2,-79.25
"Asuncion","Morona-Santiago",-2.4833333333333334,-78.16666666666667
"Asuncion","Bolívar",-1.65,-79.03333333333333
"Atacames","Esmeraldas",0.8666666666666667,-79.85
"Atacmes","Esmeraldas",0.8772222222222222,-79.87972222222221
"Atahualpa","Esmeraldas",0.8666666666666667,-78.98333333333333
"Atahualpa","Tungurahua",-1.2166666666666668,-78.61666666666666
"Atahualpa","Guayas",-2.3166666666666664,-80.78333333333333
"Atahualpa","Pichincha",0.13333333333333333,-78.38333333333334
"Atahualpa","Manabí",-0.03333333333333333,-79.96666666666667
"Atar","Cañar",-2.6833333333333336,-78.88333333333334
"Atilio","Chimborazo",-2.1666666666666665,-78.56666666666666
"Ato de la Virgen","Cañar",-2.533333333333333,-78.86666666666666
"Atocha","Tungurahua",-1.2166666666666668,-78.6
"Atravesado","Guayas",-1.9,-80.75
"Atravesao","Guayas",-2.283333333333333,-80.7
"Atuhuaycu","Cañar",-2.55,-78.91666666666667
"Atuntaqui","Imbabura",0.3333333333333333,-78.21666666666667
"Aucayacu","Pastaza",-1.5833333333333335,-75.61666666666666
"Augusto N. Martinez","Tungurahua",-1.2166666666666668,-78.61666666666666
"Aurora","Guayas",-1.85,-79.8
"Aurora","Guayas",-1.9833333333333334,-79.5
"Aurora","Guayas",-2.066666666666667,-79.9
"Avanin Chico","Azuay",-3.183333333333333,-79.2
"Avila","Orellana",-0.6333333333333333,-77.41666666666667
"Avila","Manabí",-0.75,-80.36666666666666
"Ayacucho","Manabí",-1.15,-80.28333333333333
"Ayampe","Manabí",-1.6666666666666665,-80.81666666666666
"Ayamu","Pastaza",-1.65,-76.06666666666666
"Ayancay","Cañar",-2.8,-78.86666666666666
"Ayangue","Guayas",-1.9833333333333334,-80.73333333333333
"Ayapamba","Cañar",-2.7,-78.73333333333333
"Ayapamba","Azuay",-2.95,-79.01666666666667
"Ayapamba","El Oro",-3.6,-79.66666666666667
"Ayasa","Los Ríos",-0.75,-79.46666666666667
"Ayora","Pichincha",0.06666666666666667,-78.13333333333334
"Ayuy","Morona-Santiago",-2.0833333333333335,-77.6
"Azamana","Chimborazo",-2.15,-78.55
"Azogues","Cañar",-2.7333333333333334,-78.83333333333333
"Azucar","Guayas",-2.25,-80.58333333333333
"Azucena","Guayas",-1.85,-79.81666666666666
"Baba","Los Ríos",-1.7833333333333332,-79.66666666666667
"Babahoyo","Los Ríos",-1.8166666666666667,-79.51666666666667
"Bachillero","Manabí",-0.7833333333333333,-80.21666666666667
"Bachirin","Cañar",-2.533333333333333,-79.25
"Bacundo","Morona-Santiago",-2.533333333333333,-77.36666666666666
"Badeal","Loja",-4.383333333333334,-79.98333333333333
"Baejon","Azuay",-3.4833333333333334,-79.1
"Baeza","Napo",-0.45,-77.88333333333334
"Bagatela","Guayas",-2.0166666666666666,-79.95
"Bagpancel","Azuay",-2.966666666666667,-78.83333333333333
"Baguanche","Azuay",-2.9,-78.91666666666667
"Bahia de Caraquez","Manabí",-0.6,-80.41666666666667
"Bajada","Guayas",-2.75,-80.2
"Bajada","Guayas",-2.35,-80.25
"Bajada de Chanduy","Guayas",-2.3,-80.28333333333333
"Bajada de Colonche","Guayas",-2.0166666666666666,-80.6
"Bajana","El Oro",-3.65,-80.01666666666667
"Bajen","Guayas",-2.3833333333333333,-80.08333333333333
"Bajito","Esmeraldas",1.299722222222222,-78.96611111111112
"Bajo","Esmeraldas",1.2833333333333332,-78.96666666666667
"Bajo Alto","Guayas",-3.1166666666666667,-79.9
"Bajo de Afuera","Manabí",-1.1166666666666667,-80.65
"Bajo Grande","Manabí",-1.0833333333333333,-80.68333333333334
"Balao","Guayas",-2.9166666666666665,-79.81666666666666
"Balao Chico","Guayas",-2.7333333333333334,-79.75
"Balaura","Pastaza",-1.85,-76.43333333333334
"Ballenita","Guayas",-2.202777777777778,-80.86944444444444
"Balsa","Guayas",-1.3166666666666667,-80.0
"Balsa Real","Loja",-4.233333333333333,-80.23333333333333
"Balsalito","El Oro",-3.5833333333333335,-80.2
"Balsay","Azuay",-2.9,-79.05
"Balseria","Los Ríos",-1.2333333333333334,-79.3
"Balsillar","Guayas",-2.9166666666666665,-79.86666666666666
"Balvaneda","Chimborazo",-1.7166666666666668,-78.76666666666667
"Balzapamba","Bolívar",-1.7666666666666666,-79.18333333333334
"Balzar","Guayas",-1.3666666666666667,-79.9
"Balzar","Manabí",-0.5,-80.08333333333333
"Balzas","El Oro",-3.783333333333333,-79.81666666666666
"Bamba","Esmeraldas",0.55,-79.65
"Bambil Callao","Guayas",-1.9666666666666668,-80.66666666666667
"Bambil Deshecho","Guayas",-1.9833333333333334,-80.66666666666667
"Banderas","Morona-Santiago",-3.441388888888889,-78.235
"Banderas","Morona-Santiago",-3.386388888888889,-78.23722222222223
"Bando","Loja",-3.95,-79.66666666666667
"Banepo","Los Ríos",-1.5666666666666667,-79.66666666666667
"Banipe","Guayas",-1.8666666666666667,-79.98333333333333
"Banos","Tungurahua",-1.4,-78.41666666666667
"Banos","Azuay",-2.9,-79.06666666666666
"Banos","Guayas",-2.216666666666667,-80.7
"Banos de Yunga","Azuay",-2.9333333333333336,-79.5
"Baños de Agua Santa","Tungurahua",-1.396388888888889,-78.42472222222223
"Baqueria","Chimborazo",-2.0833333333333335,-78.58333333333333
"Baquerizo Moreno","Guayas",-1.9,-79.55
"Baquerizo Moreno","Tungurahua",-1.2333333333333334,-78.5
"Barabon","Azuay",-2.9166666666666665,-79.08333333333333
"Baratillo","Imbabura",0.36666666666666664,-78.7
"Barbascal","Guayas",-2.0166666666666666,-80.61666666666666
"Barbascal","Zamora-Chinchipe",-3.6133333333333333,-78.92222222222223
